ts,co2,humidity,light_level,pir,temperature,co2_level,line_1_period_in,line_1_period_out,line_1_total_in,line_1_total_out,open_windows_all
2025-08-31 23:40:00,416.0,41.0,0.0,0,29.9,Low,0,0,0,0,0
2025-08-31 23:50:00,416.0,41.0,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 00:00:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 00:10:00,416.0,41.0,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 00:20:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 00:30:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 00:40:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 00:50:00,416.0,41.0,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 01:00:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 01:10:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 01:20:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 01:30:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 01:40:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 01:50:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:00:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:10:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:20:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:30:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:40:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 02:50:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:00:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:10:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:20:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:30:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:40:00,414.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 03:50:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 04:00:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 04:10:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 04:20:00,418.0,41.0,0.0,0,29.7,Low,0,0,0,0,0
2025-09-01 04:30:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 04:40:00,417.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 04:50:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:00:00,416.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:10:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:20:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:30:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:40:00,415.0,41.0,0.0,0,29.8,Low,0,0,0,0,0
2025-09-01 05:50:00,415.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:00:00,415.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:10:00,414.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:20:00,414.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:30:00,414.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:40:00,415.0,40.5,0.0,0,29.9,Low,0,0,0,0,0
2025-09-01 06:50:00,416.0,40.5,1.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:00:00,416.0,40.5,1.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:10:00,416.0,40.5,0.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:20:00,416.0,40.5,0.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:30:00,415.0,40.5,1.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:40:00,415.0,40.5,1.0,0,30.0,Low,0,0,0,0,0
2025-09-01 07:50:00,415.0,40.5,1.0,0,30.1,Low,0,0,0,0,0
2025-09-01 08:00:00,416.0,40.5,1.0,0,30.1,Low,0,0,0,0,0
2025-09-01 08:10:00,418.0,40.0,0.0,0,30.1,Low,0,0,0,0,0
2025-09-01 08:20:00,418.0,40.0,0.0,0,30.1,Low,0,0,0,0,0
